time_utc,hours_since_dts_start,hot_zone_250_275m_C,hot_zone_250_275m_fit_C,casing_shoe_305_315m_C,casing_shoe_305_315m_fit_C,open_interval_350_372m_C,open_interval_350_372m_fit_C
2016-03-17 23:00:00+00:00,-0.4222222222222222,131.0393181818182,142.12133193233777,137.92240506329114,134.17137609605342,110.32142857142858,111.44862618724702
2016-03-18 00:00:00+00:00,0.5777777777777777,132.40782828282823,142.50432188827133,137.49430379746832,134.1402391550033,110.22008928571432,111.47424414501575
2016-03-18 01:00:00+00:00,1.5777777777777777,134.05378787878786,142.87972970563027,137.11886075949363,134.10941303133484,110.16839285714296,111.4996460693438
2016-03-18 02:00:00+00:00,2.577777777777778,135.24737373737383,143.24770548972276,136.48158227848097,134.0788946223848,109.76455357142856,111.52483378201761
2016-03-18 03:00:00+00:00,3.577777777777778,136.6913131313131,143.60839637418832,136.3397468354431,134.04868085646146,109.81267857142852,111.54980908946067
2016-03-18 04:00:00+00:00,4.5777777777777775,137.8635606060606,143.96194657982863,136.13765822784808,134.0187686925356,109.8297619047619,111.5745737828631
2016-03-18 05:00:00+00:00,5.5777777777777775,138.89308080808073,144.3084974722736,135.89493670886074,133.9891551199343,109.85464285714282,111.59912963831009
2016-03-18 06:00:00+00:00,6.5777777777777775,139.81489898989898,144.64818761850583,135.60417721518985,133.95983715803814,109.84389880952378,111.62347841690932
2016-03-18 07:00:00+00:00,7.5777777777777775,140.8121464646465,144.98115284226617,135.5005696202532,133.93081185598095,109.95565476190475,111.64762186491726
2016-03-18 08:00:00+00:00,8.577777777777778,141.68795454545457,145.3075262783622,135.4341139240506,133.90207629235292,110.2078273809524,111.67156171386435
2016-03-18 09:00:00+00:00,9.577777777777778,142.4514898989899,145.62743842590163,135.3626582278481,133.87362757490655,110.4304166666667,111.69529968067923
2016-03-18 10:00:00+00:00,10.577777777777778,143.1769191919192,145.94101720047195,135.18240506329116,133.84546284026553,110.75041666666672,111.7188374678119
2016-03-18 11:00:00+00:00,11.577777777777778,143.75196969696964,146.24838798528688,135.04120253164558,133.81757925363652,111.19020833333336,111.74217676335573
2016-03-18 12:00:00+00:00,12.577777777777778,144.26702020202018,146.54967368132037,134.7460759493671,133.78997400852398,112.15645833333332,111.76531924116864
2016-03-18 13:00:00+00:00,13.577777777777778,144.82553030303026,146.84499475644805,134.56063291139242,133.7626443264474,112.31657738095234,111.78826656099307
2016-03-18 14:00:00+00:00,14.577777777777778,145.40323232323232,147.1344692936158,134.4689873417721,133.73558745666193,112.4912797619047,111.81102036857502
2016-03-18 15:00:00+00:00,15.577777777777778,146.1839393939394,147.41821303805486,134.5349367088608,133.70880067588135,112.70630952380957,111.83358229578208
2016-03-18 16:00:00+00:00,16.57777777777778,146.75803030303032,147.69633944356195,134.5246835443038,133.68228128800408,112.17104166666664,111.85595396072054
2016-03-18 17:00:00+00:00,17.57777777777778,147.3481565656566,147.96895971786338,134.55999999999997,133.65602662384165,112.30541666666667,111.8781369678513
2016-03-18 18:00:00+00:00,18.57777777777778,147.67348484848486,148.23618286708103,134.3144936708861,133.63003404085023,112.2795833333333,111.90013290810508
2016-03-18 19:00:00+00:00,19.57777777777778,148.22338383838377,148.498115739318,134.314493670886,133.6043009228646,112.22461309523814,111.92194335899642
2016-03-18 20:00:00+00:00,20.57777777777778,148.7379797979799,148.75486306738128,134.29924050632914,133.57882467983475,112.32952380952383,111.94356988473683
2016-03-18 21:00:00+00:00,21.57777777777778,149.12628787878788,149.00652751065903,134.191582278481,133.55360274756526,112.2588988095238,111.96501403634707
2016-03-18 22:00:00+00:00,22.57777777777778,149.46568181818185,149.2532096961682,134.07303797468353,133.52863258745725,112.33410714285714,111.98627735176825
2016-03-18 23:00:00+00:00,23.57777777777778,149.8340909090909,149.49500825879,133.95702531645566,133.50391168625276,112.46166666666667,112.00736135597221
2016-03-19 00:00:00+00:00,24.57777777777778,150.11444444444447,149.7320198807087,133.85037974683542,133.4794375557819,112.1891071428571,112.02826756107085
2016-03-19 01:00:00+00:00,25.57777777777778,150.43560606060603,149.96433933006946,133.7613924050633,133.45520773271235,112.3175595238095,112.04899746642462
2016-03-19 02:00:00+00:00,26.57777777777778,150.6792424242425,150.1920594988712,133.61898734177217,133.4312197783014,112.1835119047619,112.06955255875003
2016-03-19 03:00:00+00:00,27.57777777777778,150.86813131313136,150.41527144010888,133.46645569620256,133.40747127815064,112.4163392857143,112.08993431222626
2016-03-19 04:00:00+00:00,28.57777777777778,151.1844191919192,150.63406440418086,133.40810126582278,133.3839598419627,111.97994047619044,112.11014418860087
2016-03-19 05:00:00+00:00,29.57777777777778,151.4081818181818,150.8485258745751,133.32063291139244,133.3606831033009,112.34797619047616,112.13018363729472
2016-03-19 06:00:00+00:00,30.57777777777778,151.63229797979795,151.05874160284935,133.2073417721519,133.33763871935096,112.36044642857146,112.15005409550584
2016-03-19 07:00:00+00:00,31.57777777777778,151.8543686868687,151.26479564291836,133.12082278481014,133.31482437068516,111.91630952380945,112.16975698831247
2016-03-19 08:00:00+00:00,32.577777777777776,151.97957070707065,151.46677038466254,133.01120253164555,133.292237761029,111.6902976190476,112.18929372877543
2016-03-19 09:00:00+00:00,33.577777777777776,152.36113636363638,151.66474658687125,133.08803797468357,133.26987661702998,112.32851190476192,112.20866571803926
2016-03-19 10:00:00+00:00,34.577777777777776,152.63090909090906,151.85880340953392,133.08468354430386,133.2477386880288,112.15029761904766,112.22787434543282
2016-03-19 11:00:00+00:00,35.577777777777776,152.78977272727275,152.0490184454918,133.00898734177213,133.2258217458329,112.0766369047619,112.24692098856896
2016-03-19 12:00:00+00:00,36.577777777777776,152.9740656565657,152.23546775146312,132.936582278481,133.2041235844921,111.8660119047619,112.26580701344321
2016-03-19 13:00:00+00:00,37.577777777777776,153.1582070707071,152.4182258784541,132.8885443037975,133.1826420200766,112.09598214285712,112.28453377453185
2016-03-19 14:00:00+00:00,38.577777777777776,153.30047979797985,152.5973659015679,132.82215189873415,133.16137489045727,112.14386904761908,112.30310261488899
2016-03-19 15:00:00+00:00,39.577777777777776,153.5821717171717,152.77295944922335,132.86620253164563,133.14032005508787,111.95351190476188,112.32151486624291
2016-03-19 16:00:00+00:00,40.577777777777776,153.8375505050505,152.94507673179535,132.90683544303795,133.11947539478962,112.3002083333333,112.33977184909156
2016-03-19 17:00:00+00:00,41.577777777777776,154.10159090909093,153.11378656968807,132.94006329113927,133.09883881153806,112.7138392857143,112.35787487279734
2016-03-19 18:00:00+00:00,42.577777777777776,154.362702020202,153.27915642085276,132.98664556962024,133.07840822825173,112.28809523809522,112.37582523568085
2016-03-19 19:00:00+00:00,43.577777777777776,154.5438636363636,153.4412524077602,132.98221518987344,133.05818158858318,112.51038690476196,112.39362422511414
2016-03-19 20:00:00+00:00,44.577777777777776,154.64792929292932,153.60013934383988,132.89721518987346,133.0381568567119,112.78916666666672,112.411273117613
2016-03-19 21:00:00+00:00,45.577777777777776,154.8913888888888,153.7558807593951,132.97556962025317,133.01833201713964,112.89711309523814,112.42877317892848
2016-03-19 22:00:00+00:00,46.577777777777776,154.99376262626265,153.9085389270054,132.89354430379746,132.99870507448725,112.36741071428573,112.44612566413771
2016-03-19 23:00:00+00:00,47.577777777777776,155.10785353535357,154.0581748864261,132.86430379746832,132.97927405329406,112.50389880952385,112.46333181773387
2016-03-20 00:00:00+00:00,48.577777777777776,155.24424242424243,154.20484846899458,132.8143037974683,132.96003699781903,113.1251785714286,112.48039287371547
2016-03-20 01:00:00+00:00,49.577777777777776,155.37232323232325,154.34861832155386,132.78537974683542,132.94099197184374,112.5588988095238,112.49731005567487
2016-03-20 02:00:00+00:00,50.577777777777776,155.42164141414136,154.48954192990212,132.70493670886083,132.92213705847777,112.73785714285712,112.51408457688598
2016-03-20 03:00:00+00:00,51.577777777777776,155.62181818181818,154.6276756417782,132.7393670886076,132.90347035996547,112.79785714285715,112.5307176403913
