band,column,tau_h,rmse_C,normalized_rmse,t_start_C,t_end_C,t_inf_C,amplitude_C,fit_type
250–275 m hot zone,hot_zone_250_275m_C,50.01046192234693,1.7672837241555956,0.05856266592740935,131.0393181818182,161.16237373737368,161.4669696969697,19.18299630678491,rise
305–315 m casing shoe,casing_shoe_305_315m_C,99.67676947608386,0.6498067583417619,0.0981543669388137,137.92240506329114,131.8039873417722,131.05215189873422,3.106039376504335,decay
350–372 m open interval,open_interval_350_372m_C,118.08259180198826,0.4716850152676164,0.10547672662832122,110.32142857142858,113.22068452380952,114.48648809523816,3.0270189686810958,rise
